Time,EAST ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],EAST ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],EAST ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],EAST ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 1:Des Heat Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 1:Des Heat Cap [W],WEST ZONE AIR SYSTEM:DesPer 1:Des Cool Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 1:Des Sens Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 1:Des Tot Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Heat Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 2:Des Heat Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Cool Mass Flow [kg/s],WEST ZONE AIR SYSTEM:DesPer 2:Des Sens Cool Cap [W],WEST ZONE AIR SYSTEM:DesPer 2:Des Tot Cool Cap [W]
01:00:00,0.000000E+00,0.000000E+00,6.525482E+00,3.666779E+04,2.726421E+04,0.000000E+00,0.000000E+00,2.452791E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.848752E+00,3.286513E+04,3.182003E+04,0.000000E+00,0.000000E+00,2.184757E+00,0.000000E+00,0.000000E+00
02:00:00,0.000000E+00,0.000000E+00,6.521269E+00,3.425884E+04,2.481523E+04,0.000000E+00,0.000000E+00,2.452658E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.844930E+00,3.070576E+04,2.962003E+04,0.000000E+00,0.000000E+00,2.184623E+00,0.000000E+00,0.000000E+00
03:00:00,0.000000E+00,0.000000E+00,6.517473E+00,3.245098E+04,2.297826E+04,0.000000E+00,0.000000E+00,2.452577E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.841466E+00,2.908509E+04,2.796898E+04,0.000000E+00,0.000000E+00,2.184542E+00,0.000000E+00,0.000000E+00
04:00:00,0.000000E+00,0.000000E+00,6.513407E+00,3.064394E+04,2.114265E+04,0.000000E+00,0.000000E+00,2.452505E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.837749E+00,2.746514E+04,2.631884E+04,0.000000E+00,0.000000E+00,2.184469E+00,0.000000E+00,0.000000E+00
05:00:00,0.000000E+00,0.000000E+00,6.509542E+00,2.943526E+04,1.991658E+04,0.000000E+00,0.000000E+00,2.452433E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.834202E+00,2.638146E+04,2.521521E+04,0.000000E+00,0.000000E+00,2.184397E+00,0.000000E+00,0.000000E+00
06:00:00,0.000000E+00,0.000000E+00,6.507223E+00,3.061484E+04,2.112258E+04,0.000000E+00,0.000000E+00,2.452366E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.832028E+00,2.743822E+04,2.629304E+04,0.000000E+00,0.000000E+00,2.184330E+00,0.000000E+00,0.000000E+00
07:00:00,0.000000E+00,0.000000E+00,6.507140E+00,3.477964E+04,2.536791E+04,0.000000E+00,0.000000E+00,4.197845E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.831852E+00,3.117033E+04,3.009725E+04,0.000000E+00,0.000000E+00,3.749095E+00,0.000000E+00,0.000000E+00
08:00:00,0.000000E+00,0.000000E+00,6.511447E+00,4.492481E+04,3.570268E+04,0.000000E+00,0.000000E+00,4.197790E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.835575E+00,4.026173E+04,3.936346E+04,0.000000E+00,0.000000E+00,3.749040E+00,0.000000E+00,0.000000E+00
09:00:00,0.000000E+00,0.000000E+00,6.518397E+00,5.629783E+04,4.728546E+04,0.000000E+00,0.000000E+00,5.943281E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.841659E+00,5.045300E+04,4.975061E+04,0.000000E+00,0.000000E+00,5.313816E+00,0.000000E+00,0.000000E+00
10:00:00,0.000000E+00,0.000000E+00,6.540196E+00,6.665294E+04,5.780795E+04,0.000000E+00,0.000000E+00,5.959510E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.862455E+00,5.974589E+04,5.921806E+04,0.000000E+00,0.000000E+00,5.329936E+00,0.000000E+00,0.000000E+00
11:00:00,0.000000E+00,0.000000E+00,6.552277E+00,7.576338E+04,6.707702E+04,0.000000E+00,0.000000E+00,5.964933E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.873659E+00,6.791658E+04,6.754458E+04,0.000000E+00,0.000000E+00,5.335331E+00,0.000000E+00,0.000000E+00
12:00:00,0.000000E+00,0.000000E+00,6.560837E+00,8.186172E+04,7.328096E+04,0.000000E+00,0.000000E+00,5.967244E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.881533E+00,7.338583E+04,7.311816E+04,0.000000E+00,0.000000E+00,5.337648E+00,0.000000E+00,0.000000E+00
13:00:00,0.000000E+00,0.000000E+00,6.566731E+00,8.673908E+04,7.824431E+04,0.000000E+00,0.000000E+00,5.967364E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.886844E+00,7.775853E+04,7.757464E+04,0.000000E+00,0.000000E+00,5.337777E+00,0.000000E+00,0.000000E+00
14:00:00,0.000000E+00,0.000000E+00,6.569455E+00,8.977868E+04,8.133904E+04,0.000000E+00,0.000000E+00,5.964978E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.889129E+00,8.048130E+04,8.034990E+04,0.000000E+00,0.000000E+00,5.335412E+00,0.000000E+00,0.000000E+00
15:00:00,0.000000E+00,0.000000E+00,6.574152E+00,8.984286E+04,8.139719E+04,0.000000E+00,0.000000E+00,5.966050E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.893526E+00,8.054137E+04,8.040988E+04,0.000000E+00,0.000000E+00,5.336487E+00,0.000000E+00,0.000000E+00
16:00:00,0.000000E+00,0.000000E+00,6.577458E+00,8.627931E+04,7.775891E+04,0.000000E+00,0.000000E+00,5.968384E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.896788E+00,7.735067E+04,7.715592E+04,0.000000E+00,0.000000E+00,5.338809E+00,0.000000E+00,0.000000E+00
17:00:00,0.000000E+00,0.000000E+00,6.577945E+00,8.147368E+04,7.285880E+04,0.000000E+00,0.000000E+00,5.969168E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.897409E+00,7.304464E+04,7.276572E+04,0.000000E+00,0.000000E+00,5.339590E+00,0.000000E+00,0.000000E+00
